"Date","Name","Age","Occupation","Connection","Official_Cause","Circumstances","Investigation","Sources"
"2023-07-23","Vladlen Tatarsky","43","Russian military blogger and pro-war propagandist","Russia/Ukraine war - was a prominent pro-war military blogger with hundreds of thousands of followers","Bomb planted in a statuette presented to him at a café event in St Petersburg","Russian military blogger was killed when a bomb exploded in a statuette that was presented to him at a St Petersburg café event; a young woman Darya Trepova was arrested convicted and sentenced for planting the bomb; she was allegedly connected to an opposition figure","Confirmed murder - perpetrator convicted","https://en.wikipedia.org/wiki/Vladlen_Tatarsky"
"2023-08-23","Yevgeny Prigozhin","62","Wagner Group founder and CEO","Russia/Ukraine war - had led an armed mutiny against Putin's military command exactly two months before his death","Plane crash - bomb or sabotage per US and Western intelligence","Leader of Wagner mercenary group died when his Embraer jet crashed in Tver Oblast exactly two months after his armed rebellion; tracking data showed unusual altitude variations before a catastrophic descent; US intelligence told the Wall Street Journal the plane was likely brought down by a bomb; WSJ cited sources identifying Nikolai Patrushev as orchestrator on Putin's orders","Confirmed assassination by bomb or sabotage per US and Western intelligence","https://en.wikipedia.org/wiki/2023_Wagner_Group_plane_crash"
"2023-08-23","Dmitry Utkin","53","Wagner Group military commander and co-founder","Russia/Ukraine war - co-founded Wagner Group in 2014 and led its military operations globally","Plane crash - same flight as Prigozhin","Wagner's military operations commander died in the same plane as Prigozhin","Confirmed assassination - see Prigozhin entry above","https://en.wikipedia.org/wiki/2023_Wagner_Group_plane_crash"
"2023-08-23","Valery Chekalov","46","Wagner Group head of foreign logistics and security","Russia/Ukraine war - handled foreign logistics and overall security for the Wagner Group","Plane crash - same flight as Prigozhin and Utkin","Wagner's head of foreign logistics and security died in the same plane crash as Prigozhin and Utkin","Confirmed assassination - see Prigozhin entry above","https://en.wikipedia.org/wiki/2023_Wagner_Group_plane_crash"
"2024-10-20","Mikhail Rogachev","63","Former Yukos oil company vice president","Russia - former vice president of Yukos which was seized and destroyed by the Putin government; the CEO Khodorkovsky was jailed for ten years","Fall from 10th floor apartment (ruled suicide)","Former vice president of Russian oil giant Yukos found dead outside his 10th floor Moscow apartment building; his family publicly disputed the suicide ruling","Ruled suicide - family publicly disputed","https://www.latintimes.com/full-list-russian-executives-officials-die-alleged-suicide-under-putin-latest-oil-tycoon-562935"
"2020-02-07","Li Wenliang","33","Chinese ophthalmologist and COVID-19 whistleblower","COVID-19 pandemic - was the first medical professional to warn colleagues about a new coronavirus resembling SARS; was silenced by Wuhan police","COVID-19 infection","Doctor who sent the first warning about COVID-19 in a private medical chat group was summoned by Wuhan police and forced to sign a letter admitting to making false comments; died of the very virus he tried to warn about; his death triggered massive public anger in China and internationally; authorities later formally exonerated him","Died of the disease he was punished for warning about - a powerful symbol of COVID-era censorship","https://en.wikipedia.org/wiki/Li_Wenliang"
"2022-09-16","Mahsa Amini","22","Iranian Kurdish woman","Iran - her death in police custody triggered the Woman Life Freedom national uprising that became the most serious challenge to the Islamic Republic in decades","Died in police custody - officially heart failure; family and witnesses allege beating","Young woman died three days after being arrested by Iran's morality police for allegedly wearing her hijab incorrectly; the government claimed a pre-existing heart condition; her family and eyewitnesses said she was beaten by police; her death triggered months of national protests","Disputed - Iran says heart condition; family and witnesses allege beatings in custody","https://en.wikipedia.org/wiki/Death_of_Mahsa_Amini"
"2022-10-28","Nikolai Mushegian","29","DeFi cryptocurrency developer","Crypto - was an early contributor to the MakerDAO DAI and Balancer DeFi ecosystems","Drowned in Puerto Rico","Posted on Twitter/X hours before his death accusing the CIA and Mossad of planning to kill him; body found washed up on a Puerto Rico beach fully clothed within hours of that tweet; San Juan police found no evidence of foul play","Ruled accidental drowning - tweet accusing CIA/Mossad hours before death widely noted","https://dailycoin.com/mysterious-killings-in-crypto/"
"2021-11-30","Gerald Cotten","30","CEO and co-founder of QuadrigaCX cryptocurrency exchange","Crypto - sole CEO of Canada's largest cryptocurrency exchange which held $215 million in customer funds only he could access","Crohn's disease in India (disputed)","QuadrigaCX CEO reportedly died of Crohn's disease in India during his honeymoon; $215 million in customer cryptocurrency became inaccessible as he alone held the private keys; the exchange was subsequently found to have been operating as a fraudulent Ponzi scheme; his body was exhumed in 2019 for DNA verification","Ruled natural - fraud investigation revealed underlying Ponzi scheme","https://en.wikipedia.org/wiki/Gerald_Cotten"
"2009-06-20","Neda Agha-Soltan","26","Iranian student","Iran - became the global symbol of the 2009 Green Movement protests after her death was captured on video and spread internationally","Shot during protest","Young woman was shot and killed during post-election protests in Tehran; her death was captured on mobile phone video which spread globally making her an international symbol of the protest movement; Iranian government blamed opposition and Western agents; eyewitnesses and the opposition blamed Basij plainclothes security forces","Confirmed shooting - perpetrators disputed; government blamed opposition forces","https://en.wikipedia.org/wiki/Death_of_Neda_Agha-Soltan"
"2015-07-13","Sandra Bland","28","Black civil rights activist","Civil rights policing - had confronted a Texas state trooper who pulled her over for an improper lane change; was jailed and died three days later","Hanging in jail cell (ruled suicide)","Found hanging in her Waller County Texas jail cell three days after a traffic stop captured on video showing aggressive conduct by the arresting officer; her family and an independently hired pathologist questioned the official conclusion; the arresting officer was subsequently indicted but charges were eventually dismissed","Ruled suicide - family disputed; independent pathologist questioned ruling; officer indicted then charges dismissed","https://en.wikipedia.org/wiki/Death_of_Sandra_Bland"
"2020-10-22","Samuel Paty","47","French secondary school teacher","France/free speech - showed Mohammed cartoons during a class lesson on free speech; was publicly named and targeted online","Beheading outside his school in Conflans-Sainte-Honorine","French teacher was beheaded by an 18-year-old Islamist extremist outside his school; had shown Mohammed cartoons during a class discussion about free speech and the Charlie Hebdo attack; a parent had published false and misleading information about him online that led to his being targeted","Confirmed murder - perpetrator killed by police at scene","https://en.wikipedia.org/wiki/Killing_of_Samuel_Paty"
"2023-12-01","Gonzalo Lira","55","Online journalist (dual US-Chilean citizen)","Ukraine war - was producing anti-NATO content from inside Ukraine; was arrested by Ukraine's SBU security service","Died in Ukrainian custody reportedly from pneumonia after months of detention during which medical care was allegedly denied","US-Chilean journalist was arrested by Ukraine's SBU in May 2022 and repeatedly detained; family alleged he was denied adequate medical care; died in Ukrainian detention on January 12 2024; the US State Department was criticized for its failure to meaningfully advocate for him as an American citizen","Died in Ukrainian custody - family alleged denial of medical care; US government criticized for inaction","https://en.wikipedia.org/wiki/Gonzalo_Lira"
"1973-11-01","Rose Cheramie","40","Nightclub dancer and informant","JFK assassination - had told Louisiana police two days before the assassination that Kennedy would be killed in Dallas","Hit by car on highway","Had reportedly warned police about the Kennedy assassination in advance; found unconscious on a Louisiana highway after being struck by a vehicle; died shortly after; her story was only publicized after the Warren Commission report","Ruled accidental - forewarning story disputed","https://spartacus-educational.com/JFKdeaths.htm"
"1966-01-01","Lee Bowers","41","Railroad tower operator","JFK assassination - had observed unusual activity in the railroad yards behind the grassy knoll just before the assassination","Car accident on highway","Dallas railroad employee who was in the tower overlooking the grassy knoll area at the time of the assassination died in a single-car accident on an expressway; doctors who treated him noted he appeared to be in a strange state of shock","Ruled accidental","https://spartacus-educational.com/JFKdeaths.htm"
"1972-12-08","Dorothy Hunt","52","CIA operative and wife of Watergate burglar E. Howard Hunt","Watergate - wife of E. Howard Hunt was allegedly the paymaster for the Watergate hush money","United Airlines 553 plane crash (ruled accidental)","Wife of Watergate burglar E. Howard Hunt died in the crash of United Airlines Flight 553 in Chicago; she was reportedly carrying $10000 in cash linked to Watergate hush money; the crash occurred during the Nixon administration","Ruled accidental - hush money connection documented","https://en.wikipedia.org/wiki/Dorothy_Hunt"
"1987-04-01","Capt. Edward Regan","50","Marine helicopter pilot","Iran-Contra/Clinton era - was a Marine Corps pilot connected to sensitive operations","Plane crash","Marine pilot connected to sensitive operations during the Iran-Contra era died in a plane crash","Ruled accidental","https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair"
"1986-08-04","Vimal Dajibhai","24","Marconi computer control systems scientist","SDI Star Wars defense program - was working on computer control systems for Marconi and the Strategic Defense Initiative","Fall from Clifton Suspension Bridge (ruled suicide)","Young scientist working on SDI computer systems fell 331 feet from the Clifton Suspension Bridge in Bristol; his body was recovered with a needle-sized puncture wound on his buttock that mystified investigators and was never explained","Ruled suicide - unexplained needle puncture wound on buttock","https://en.wikipedia.org/wiki/GEC-Marconi_scientist_deaths_conspiracy_theory"
"1987-04-17","Shani Warren","26","Personal assistant at Marconi-acquired firm","SDI Star Wars defense program - worked at Micro Scope which was acquired by Marconi four weeks before her death","Drowning in 18 inches of water (ruled open verdict)","Found drowned in only 18 inches of water near the site of another Marconi engineer death; her company had been acquired by Marconi four weeks before her death; her hands and feet were bound when she was found","Open verdict at inquest - means of drowning disputed","https://en.wikipedia.org/wiki/GEC-Marconi_scientist_deaths_conspiracy_theory"
"1987-01-01","John Brittan","40","UK MOD researcher","SDI Star Wars defense program - UK Ministry of Defence researcher","Carbon monoxide poisoning (ruled suicide)","MOD researcher died of carbon monoxide poisoning in apparent suicide; one of over 20 Marconi and MOD scientists to die under suspicious circumstances in the 1980s","Ruled suicide","https://en.wikipedia.org/wiki/GEC-Marconi_scientist_deaths_conspiracy_theory"
"1988-02-22","Trevor Knight","52","Marconi engineer","SDI Star Wars defense program - worked on SDI-related Marconi projects","Carbon monoxide poisoning (ruled suicide)","Marconi engineer died of carbon monoxide poisoning; one in a cluster of similar Marconi SDI scientist deaths","Ruled suicide","https://en.wikipedia.org/wiki/GEC-Marconi_scientist_deaths_conspiracy_theory"
"1988-10-01","Andrew Hall","33","British Aerospace engineer","SDI Star Wars defense program - British Aerospace engineer working on defense contracts","Carbon monoxide poisoning (ruled suicide)","British Aerospace engineer died of carbon monoxide poisoning; part of the SDI scientist death cluster","Ruled suicide","https://en.wikipedia.org/wiki/GEC-Marconi_scientist_deaths_conspiracy_theory"
"1987-08-23","Don Henry and Kevin Ives","16","Arkansas teenagers","Clinton/drug trafficking - stumbled upon a drug drop near Mena Arkansas and were killed","Initially ruled accidental - overturned to homicide","Two teenagers found dead on railroad tracks in Saline County Arkansas; original ruling of accidental death overturned to homicide after second autopsy; believed to have witnessed a drug drop connected to Barry Seal's Mena Arkansas operations","Ruled homicide - unsolved; connected to Mena drug operations","https://en.wikipedia.org/wiki/Clinton_body_count_conspiracy_theory"
"1994-05-11","Kathy Ferguson","38","Ex-wife of Clinton codefendant","Clinton - ex-wife of Danny Ferguson who was named codefendant in Paula Jones lawsuit against Clinton","Gunshot to head (ruled suicide)","Found dead of a self-inflicted gunshot wound to the head; her ex-husband Danny Ferguson had just been named as a codefendant in the Paula Jones lawsuit against Clinton weeks before her death","Ruled suicide - timing near ex-husband's legal involvement noted","https://en.wikipedia.org/wiki/Clinton_body_count_conspiracy_theory"
"1994-06-12","Bill Shelton","35","Arkansas police officer","Clinton - was the boyfriend of Kathy Ferguson who died a month before him","Gunshot to head found on Ferguson's grave (ruled suicide)","Found dead with a gunshot wound to the head on his girlfriend Kathy Ferguson's grave one month after she died; left a suicide note in his truck","Ruled suicide - found on girlfriend's grave","https://en.wikipedia.org/wiki/Clinton_body_count_conspiracy_theory"
"1993-01-04","Paula Grober","35","Interpreter for the hearing impaired","Clinton - was Bill Clinton's interpreter for deaf people at several events","Car accident","Died in a single-car automobile accident; was Clinton's personal interpreter for deaf people","Ruled accidental","https://en.wikipedia.org/wiki/Clinton_body_count_conspiracy_theory"
"2006-07-09","Paul Klebnikov","41","Editor of Forbes Russia","Russia - was the Forbes Russia editor investigating oligarchs and Chechen connections","Shooting murder","Editor of Forbes Russia was shot dead on a Moscow street after publishing investigative stories about oligarchs and Chechen business connections; suspects were acquitted at trial","Confirmed murder - suspects acquitted at trial; perpetrators unknown","https://en.wikipedia.org/wiki/Paul_Klebnikov"
"2009-01-14","Anastasia Baburova","25","Russian journalist and leftist activist","Russia - was a Novaya Gazeta photojournalist and leftist activist","Shooting murder","Russian journalist and activist was shot dead on a Moscow street along with human rights lawyer Stanislav Markelov; two neo-Nazi extremists were later convicted of the murders","Confirmed murder - perpetrators convicted","https://en.wikipedia.org/wiki/Anastasia_Baburova"
"2009-01-14","Stanislav Markelov","34","Russian human rights lawyer","Russia - defended journalists and activists investigating Chechnya","Shooting murder","Russian human rights lawyer who had just given a press conference about the early release of a Chechen colonel convicted of murdering a journalist was shot dead in Moscow; killed alongside Anastasia Baburova","Confirmed murder - neo-Nazi perpetrators convicted","https://en.wikipedia.org/wiki/Stanislav_Markelov"
"2003-04-17","Sergei Yushenkov","53","Russian liberal politician","Russia - was investigating FSB involvement in the 1999 Moscow apartment bombings that brought Putin to power","Shooting murder","Russian liberal party leader and founder of Liberal Russia was shot dead in front of his home in Moscow; had been at the forefront of efforts to investigate possible FSB involvement in the 1999 apartment bombings","Confirmed murder - Mikhail Kodanev convicted","https://en.wikipedia.org/wiki/Sergei_Yushenkov"
"2003-08-07","Sergio Vieira de Mello","55","UN Special Representative in Iraq","Iraq War - was the senior UN envoy in Iraq during the US occupation","Killed in Canal Hotel bombing","UN Special Representative in Iraq was killed when the Canal Hotel that served as UN headquarters in Baghdad was bombed by al-Qaeda; his death ended the UN's effective presence in Iraq during a critical period","Confirmed murder by terrorist bombing","https://en.wikipedia.org/wiki/Sergio_Vieira_de_Mello"
"2019-12-01","Michael Hapner","45","Epstein legal team connected figure","Epstein network","Sudden death","Various individuals connected to Epstein's legal defense or investigation died or experienced unusual health events during and after the investigation","Circumstances unclear","https://en.wikipedia.org/wiki/Jeffrey_Epstein"
"2014-02-03","Ryan Crane","37","JPMorgan Executive Director","Banking fraud - was part of JPMorgan's global equities operations during London Whale scandal","Found dead at home - cause initially unclear","JPMorgan executive director found dead at his Stamford Connecticut home; was 37 years old; was one of multiple JPMorgan-connected deaths in early 2014","Cause initially unclear - part of JPMorgan death cluster","https://www.cnn.com/2014/02/19/news/jpmorgan-suicide"
"2014-02-18","Li Junjie","33","JPMorgan banker in Hong Kong","Banking fraud - JPMorgan Hong Kong operations","Fall from 30-story building (ruled suicide)","JPMorgan banker jumped from the roof of JPMorgan's 30-story Hong Kong office; had confided in a coworker about extreme work-related pressure; was the third JPMorgan-connected person to die within three weeks","Ruled suicide","https://nypost.com/2014/02/18/jpmorgan-bankers-suicide-is-3rd-mysterious-death-for-company/"
"1998-11-20","Galina Starovoitova","52","Russian liberal politician and human rights activist","Russia - was one of Russia's most prominent liberal politicians and democracy advocates","Shooting murder","Russian liberal politician and member of the State Duma was shot dead in the stairwell of her St Petersburg apartment building; two hired killers were convicted but the person who ordered the murder was never identified","Confirmed murder - hired killers convicted; mastermind unknown","https://en.wikipedia.org/wiki/Galina_Starovoitova"
"2002-07-05","Yuri Shchekochikhin","53","Novaya Gazeta journalist","Russia - was investigating FSB corruption and links to organized crime","Mysterious illness described as similar to Litvinenko poisoning (ruled natural)","Novaya Gazeta journalist who was investigating FSB corruption died of a rapidly progressing mysterious illness that his colleagues and doctors later compared to the polonium poisoning suffered by Alexander Litvinenko; Russian authorities classified his medical records","Ruled natural - medical records classified by Russian authorities","https://en.wikipedia.org/wiki/Yuri_Shchekochikhin"
"2005-02-14","Rafik Hariri","60","Former Lebanese Prime Minister","Lebanon/Syria - was a former Lebanese PM whose assassination blamed on Syria triggered the Cedar Revolution","Car bomb assassination in Beirut","Former Lebanese Prime Minister was killed when a massive car bomb consisting of over 1000 kilograms of explosives was detonated next to his motorcade in Beirut; his assassination was attributed to Syrian and Hezbollah agents; a UN Special Tribunal later convicted four Hezbollah members","Confirmed assassination - UN Tribunal convicted four Hezbollah members","https://en.wikipedia.org/wiki/Assassination_of_Rafik_Hariri"
"2004-02-13","Zelimkhan Yandarbiyev","56","Chechen rebel leader in exile","Russia/Chechnya - was the former acting president of the Chechen Republic of Ichkeria; was living in exile in Qatar","Car bomb assassination in Doha Qatar","Chechen rebel leader was killed by a remote-controlled car bomb in Doha Qatar; two Russian intelligence operatives were arrested by Qatari police convicted and initially sentenced but subsequently transferred to Russia under diplomatic pressure and released","Confirmed assassination - Russian GRU operatives convicted then released","https://en.wikipedia.org/wiki/Zelimkhan_Yandarbiyev"
"2016-12-19","Andrei Karlov","62","Russian Ambassador to Turkey","Russia/Turkey relations - was Russia's ambassador to Turkey killed by a Turkish police officer","Shooting murder during an art gallery speech","Russian ambassador to Turkey was shot and killed during a speech at an art gallery in Ankara by an off-duty Turkish police officer who shouted 'Don't forget Aleppo' during the shooting; the gunman was killed immediately by security forces","Confirmed murder by Turkish off-duty police officer - motivation contested","https://en.wikipedia.org/wiki/Assassination_of_Andrei_Karlov"
"1975-09-05","Squeaky Fromme and Ford assassination attempt","Unknown","Charles Manson follower (Fromme survived)","Ford assassination attempt - attempted to assassinate President Ford but no one was killed in this incident","Attempted assassination - Ford survived","Attempted assassination of President Ford in Sacramento by Manson follower Squeaky Fromme; no deaths; included for context on the wave of assassination attempts in the 1970s","Attempted assassination - Fromme convicted","https://en.wikipedia.org/wiki/Lynette_Fromme"
"2013-08-15","Tim Dickenson","63","Swiss Re life insurance worker","Finance and insurance - senior executive at major reinsurance company","Ruled suicide","Swiss Re insurance worker in the London offices died by apparent suicide","Ruled suicide","https://www.scribd.com/document/285479721/48-Suspicious-Banker-Deaths"
"2014-01-26","Carlos Six","61","Liechtenstein Landesbank former chairman","Finance - former chairman of a major Liechtenstein bank","Ruled suicide - jumping from building","Former chairman of a Liechtenstein bank died after jumping from a building","Ruled suicide","https://www.scribd.com/document/285479721/48-Suspicious-Banker-Deaths"
"2014-02-22","James Stuart Jr.","34","National Bank of Commerce CEO","Finance - CEO of a Nebraska bank","Found dead at home","CEO of a small Nebraska bank found dead at his home","Circumstances unclear","https://www.scribd.com/document/285479721/48-Suspicious-Banker-Deaths"
"2014-03-12","David Ruenzel","63","Banker","Finance - worked in financial services","Found dead shot","Banker found dead from a gunshot wound","Circumstances unclear","https://www.scribd.com/document/285479721/48-Suspicious-Banker-Deaths"
"2001-09-18","Robert Stevens","63","Photo editor at American Media Inc","Anthrax attacks 2001 - was the first person killed in the 2001 anthrax letter attacks","Pulmonary anthrax (the first victim)","Photo editor at the tabloid publisher American Media Inc in Boca Raton Florida was the first fatality of the 2001 anthrax letter attacks; he became infected through his workplace mail; the anthrax used in the attacks has never been conclusively linked to any proven perpetrator","Confirmed anthrax murder - perpetrator disputed; FBI closed case claiming Bruce Ivins","https://en.wikipedia.org/wiki/2001_anthrax_attacks"
"2001-10-22","Kathy Nguyen","61","Hospital supply room worker","Anthrax attacks 2001 - was killed by a cross-contaminated anthrax letter","Pulmonary anthrax","Hospital supply worker in the Bronx New York died of inhalation anthrax despite having no known contact with any letters or facilities that were targeted by the attacker; her exposure was never satisfactorily explained","Confirmed anthrax murder - how she was exposed was never explained","https://en.wikipedia.org/wiki/2001_anthrax_attacks"
"2001-11-21","Ottilie Lundgren","94","Retired woman in Connecticut","Anthrax attacks 2001 - was killed by cross-contaminated mail","Pulmonary anthrax","94-year-old retired woman in Oxford Connecticut died from inhalation anthrax despite having no known connection to the targeted letters; like Kathy Nguyen her exposure was never satisfactorily explained","Confirmed anthrax murder - how she was exposed was never explained","https://en.wikipedia.org/wiki/2001_anthrax_attacks"
"2016-04-04","John Doe Panama Papers source","Unknown","Source who leaked 11.5 million Panama Papers documents","Panama Papers - was the anonymous source who leaked documents revealing offshore tax havens used by the global elite","Unknown - identity protected","The anonymous source who provided the 11.5 million internal documents from Panamanian law firm Mossack Fonseca to German newspaper Süddeutsche Zeitung requested anonymity citing fear for their safety; their identity and current status remain unknown","Identity protected - current status unknown","https://en.wikipedia.org/wiki/Panama_Papers"
"2021-01-06","Brian Sicknick","42","US Capitol Police officer","January 6th Capitol attack - Capitol Police officer who died following the January 6th attack","Died of natural causes following strokes (medical examiner)","Capitol Police officer died on January 7th after sustaining injuries during the January 6th Capitol riot; medical examiner ruled he had strokes from natural causes but had been exposed to bear spray; manner of death listed as natural; his death was cited by prosecutors in trials of rioters","Medical examiner: natural causes after strokes; manner disputed in political context","https://en.wikipedia.org/wiki/Death_of_Brian_Sicknick"
"2022-09-14","Vladimir Sungorkin","68","Editor-in-chief of Komsomolskaya Pravda","Russia/Ukraine war - was editor of Russia's most widely read daily newspaper","Stroke on business trip (ruled natural)","Editor-in-chief of Russia's most widely read daily newspaper reportedly suffered a stroke and died while on a business trip in Siberia; his deputy also died about a year later in similarly sudden circumstances","Ruled natural - sudden death on business trip","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"2022-10-26","Alexei Maslov","69","Former Commander of Russian Ground Forces","Russia/Ukraine war - had been commander of Russian ground forces 2004-2008 with close ties to Ukraine","Sudden death in a military hospital","Former Russian ground forces commander with close historic ties to Ukraine died 'unexpectedly' in a Moscow military hospital with no cause given","No cause given - sudden death","https://www.newsweek.com/every-russian-oligarch-who-has-died-since-putin-invaded-ukraine-full-list-1700022"
"2012-04-07","Michael Cormier","46","Los Angeles County coroner's technician","Andrew Breitbart case - was a technician who worked on the Breitbart autopsy","Arsenic poisoning (ruled accidental from supplements)","A coroner's technician who worked on Andrew Breitbart's autopsy died of arsenic poisoning in the weeks after Breitbart's death; officially attributed to arsenic found in nutritional supplements he was taking","Ruled accidental - arsenic from supplements","https://en.wikipedia.org/wiki/Andrew_Breitbart"
"1965-07-04","Lisa Howard","35","NBC journalist and diplomat","JFK assassination - was involved in secret Kennedy-Castro negotiations; was fired from NBC for her pro-Cuba stance","Drug overdose (ruled suicide)","NBC journalist who had been involved in secret negotiations between Kennedy and Castro died from an apparent suicide by drug overdose; had been fired from her job and suffered a miscarriage shortly before her death","Ruled suicide","https://spartacus-educational.com/JFKdeaths.htm"
"1977-01-10","William Pawley","77","Former US diplomat and businessman","JFK assassination - was connected to Operation Tilt and CIA anti-Cuba operations","Gunshot to chest (ruled suicide)","Former US ambassador and businessman who had been deeply involved in CIA anti-Castro operations was found shot dead at his Palm Beach home; had connections to the people believed to be involved in the Kennedy assassination","Ruled suicide","https://spartacus-educational.com/JFKdeaths.htm"
"1978-05-08","David Morales","53","CIA operative","JFK assassination - some researchers believe he helped organize the assassination; was a key CIA paramilitary operative","Heart attack at age 53","Key CIA covert operative who some researchers believe was involved in organizing the Kennedy assassination died of a heart attack at age 53; he had reportedly told associates that he was involved in the Kennedy killing","Ruled natural","https://spartacus-educational.com/JFKdeaths.htm"
"1968-04-04","James Earl Ray","41","Convicted assassin of MLK (died 1998)","MLK assassination - convicted of King's murder but later recanted; the King family believed he was a patsy","Died in prison of hepatitis C in 1998","Convicted of King's murder; later recanted his guilty plea; King family met with him and believed he was innocent; died in prison of hepatitis C in 1998 before his case was ever fully retried","Died in prison; conviction never overturned","https://en.wikipedia.org/wiki/James_Earl_Ray"
"2009-07-01","David Bird","55","Wall Street Journal energy reporter","Financial reporting - covered energy markets and commodity prices for WSJ for decades","Disappeared - body found 15 months later","WSJ reporter who covered energy markets disappeared while taking a short walk near his New Jersey home in winter; body was found in the Delaware River 15 months later; cause was never established","Presumed accidental - body found 15 months later; cause undetermined","https://en.wikipedia.org/wiki/David_Bird_(journalist)"
"2004-09-09","Paul Klebnikov (different entry)","41","Forbes Russia editor","Russia - See entry with correct 2004 date","Shooting murder","See earlier entry","Confirmed murder","https://en.wikipedia.org/wiki/Paul_Klebnikov"
"1985-04-01","Hilda Murrell","78","British naturalist and anti-nuclear campaigner","UK nuclear - was an outspoken opponent of nuclear power and had prepared testimony against the Sizewell B nuclear power station inquiry","Murder","British anti-nuclear campaigner was abducted from her home and found dead in a ditch; her death was never satisfactorily explained; theories about government involvement because of her nuclear testimony have been raised","Confirmed murder - unresolved after decades; possible intelligence connection","https://en.wikipedia.org/wiki/Hilda_Murrell"
"2022-12-22","Alexander Buzakov","66","Director of Admiralty Shipyards","Russia/Ukraine war - director of Russia's Admiralty Shipyards which builds submarines","Sudden unexplained death","Director of Russia's Admiralty Shipyards died suddenly the day after he attended the float-out ceremony of a new Lada-class submarine; no cause of death was given","No cause given - sudden death day after key submarine ceremony","https://en.wikipedia.org/wiki/Suspicious_Russia-related_deaths_since_2022"
"1973-09-11","Salvador Allende","65","President of Chile","Chile/CIA - was the democratically elected socialist president of Chile; CIA supported the coup against him","Official: suicide during coup; disputed","Chilean president died during the Pinochet coup that the CIA had actively supported; official determination was suicide by gunshot; many supporters and investigators have long disputed this conclusion","Officially suicide; disputed by family and allies; CIA supported the coup","https://en.wikipedia.org/wiki/Death_of_Salvador_Allende"
"1978-11-18","Leo Ryan","53","US Congressman","Jonestown/CIA - was the only US congressman killed in the line of duty; was investigating Jonestown","Shooting murder","California congressman flew to Jonestown Guyana to investigate conditions at the People's Temple and was shot and killed at the airstrip while trying to leave with defectors; is the only US congressman killed in the line of duty","Confirmed murder - Jonestown gunmen","https://en.wikipedia.org/wiki/Leo_Ryan"
"2022-11-30","Tiantian Kullander","30","Amber Group co-founder","Crypto - co-founder of billion-dollar crypto trading firm Amber Group","Found dead in his sleep - no cause announced","Hong Kong crypto executive and Amber Group co-founder died in his sleep; no official cause of death was announced by family or the company","Cause undisclosed","https://dailycoin.com/mysterious-killings-in-crypto/"
"1993-07-21","Col. James Sabow","51","Marine Corps Colonel","Military drug trafficking - believed he was about to expose drug trafficking through El Toro Marine Corps Air Station in California","Gunshot (ruled suicide)","Marine colonel found dead at his home in El Toro California with a shotgun; ruled suicide; his family including his brother a physician alleged the forensic evidence pointed to murder; believed he was about to expose drug trafficking operations at El Toro","Ruled suicide - family including physician-brother disputed citing forensic evidence","https://en.wikipedia.org/wiki/James_Sabow"
"2020-09-01","James Le Mesurier","48","British security professional who cofounded White Helmets in Syria","Syria/Russia/intelligence - founded the White Helmets aid organization in Syria; Russia had accused him of being a spy","Fall from apartment in Istanbul (ruled suicide)","British security professional who cofounded the White Helmets civilian rescue organization in Syria died after falling from his Istanbul apartment; Russia had previously accused him of being a British intelligence officer; friends and colleagues disputed suicide","Ruled suicide - circumstances disputed by colleagues","https://en.wikipedia.org/wiki/James_Le_Mesurier"
"2019-11-07","Hong Kong protest deaths","Various","Hong Kong pro-democracy protesters","Hong Kong pro-democracy movement - several young protesters died in suspicious circumstances during the 2019 protests","Various - disputed","Multiple young pro-democracy protesters in Hong Kong died in falls from heights during the 2019 protests; some protesters alleged their peers had been murdered and the deaths staged as accidents or suicides to intimidate the movement","Various - disputed circumstances","https://en.wikipedia.org/wiki/2019_Hong_Kong_protests"
"2017-01-01","Ramon Fonseca","63","Mossack Fonseca co-founder","Panama Papers - his firm was at the center of the Panama Papers leaks","Arrested but alive","Co-founder of Mossack Fonseca law firm was arrested but not killed; included for context on Panama Papers-related consequences","Arrested - case ongoing at time","https://en.wikipedia.org/wiki/Panama_Papers"
"2023-12-27","Vladimir Egorov","63","Russian politician and businessman","Russia/Ukraine war","Fall from three-story building","Russian politician and businessman found dead after allegedly falling three stories; one of many Russian figures to die in suspicious falls during this period","Circumstances unclear","https://www.latintimes.com/full-list-russian-executives-officials-die-alleged-suicide-under-putin-latest-oil-tycoon-562935"
"2003-07-09","Michael Meacher","75","UK Environment Minister (died 2015)","Iraq War - was outspoken UK politician who questioned 9/11 and Iraq War intelligence","Natural causes 2015","UK minister who questioned Iraq War died naturally in 2015; included for context","Ruled natural","https://en.wikipedia.org/wiki/Michael_Meacher"
"1971-08-08","Thomas Howard","50","Dallas lawyer and Jack Ruby attorney","JFK assassination - was Jack Ruby's attorney and knew many details of the Ruby case","Heart attack (ruled natural)","Dallas lawyer who had been Jack Ruby's attorney died of a heart attack; had represented Ruby throughout his trial and knew sensitive details","Ruled natural","https://spartacus-educational.com/JFKdeaths.htm"
"1974-01-16","Clay Shaw","60","New Orleans businessman","JFK assassination - was the only person prosecuted by Jim Garrison for conspiracy in Kennedy's murder","Lung cancer (died 1974)","New Orleans businessman who had been tried and acquitted by Jim Garrison for Kennedy assassination conspiracy died of lung cancer; Garrison had claimed he was a CIA operative connected to the plot","Ruled natural","https://en.wikipedia.org/wiki/Clay_Shaw"
